epoch,steps,cos_sim-Accuracy@1,cos_sim-Accuracy@3,cos_sim-Accuracy@5,cos_sim-Accuracy@10,cos_sim-Precision@1,cos_sim-Recall@1,cos_sim-Precision@3,cos_sim-Recall@3,cos_sim-Precision@5,cos_sim-Recall@5,cos_sim-Precision@10,cos_sim-Recall@10,cos_sim-MRR@10,cos_sim-NDCG@10,cos_sim-MAP@100,dot_score-Accuracy@1,dot_score-Accuracy@3,dot_score-Accuracy@5,dot_score-Accuracy@10,dot_score-Precision@1,dot_score-Recall@1,dot_score-Precision@3,dot_score-Recall@3,dot_score-Precision@5,dot_score-Recall@5,dot_score-Precision@10,dot_score-Recall@10,dot_score-MRR@10,dot_score-NDCG@10,dot_score-MAP@100
0,-1,0.7311072056239016,0.8137082601054482,0.8523725834797891,0.8717047451669596,0.7311072056239016,0.7311072056239016,0.27123608670181604,0.8137082601054482,0.1704745166959578,0.8523725834797891,0.08717047451669595,0.8717047451669596,0.7793706586325213,0.801937895476984,0.7821256605063656,0.7311072056239016,0.8137082601054482,0.8523725834797891,0.8717047451669596,0.7311072056239016,0.7311072056239016,0.27123608670181604,0.8137082601054482,0.1704745166959578,0.8523725834797891,0.08717047451669595,0.8717047451669596,0.7793706586325213,0.801937895476984,0.7821256605063656
1,-1,0.7363796133567663,0.8312829525483304,0.8523725834797891,0.8769771528998243,0.7363796133567663,0.7363796133567663,0.27709431751611013,0.8312829525483304,0.1704745166959578,0.8523725834797891,0.08769771528998241,0.8769771528998243,0.7862987139788543,0.8084973361802221,0.7901419381670312,0.7363796133567663,0.8312829525483304,0.8523725834797891,0.8769771528998243,0.7363796133567663,0.7363796133567663,0.27709431751611013,0.8312829525483304,0.1704745166959578,0.8523725834797891,0.08769771528998241,0.8769771528998243,0.7862987139788543,0.8084973361802221,0.7901419381670312
2,-1,0.7398945518453427,0.8312829525483304,0.8558875219683656,0.8840070298769771,0.7398945518453427,0.7398945518453427,0.27709431751611013,0.8312829525483304,0.1711775043936731,0.8558875219683656,0.08840070298769771,0.8840070298769771,0.7927371886071359,0.8150524882454125,0.7960666647776321,0.7398945518453427,0.8312829525483304,0.8558875219683656,0.8840070298769771,0.7398945518453427,0.7398945518453427,0.27709431751611013,0.8312829525483304,0.1711775043936731,0.8558875219683656,0.08840070298769771,0.8840070298769771,0.7927371886071359,0.8150524882454125,0.7960666647776321
3,-1,0.7416520210896309,0.8295254833040422,0.8558875219683656,0.8822495606326889,0.7416520210896309,0.7416520210896309,0.2765084944346807,0.8295254833040422,0.1711775043936731,0.8558875219683656,0.08822495606326888,0.8822495606326889,0.7925732976260218,0.8145201530019933,0.7960357418981618,0.7416520210896309,0.8295254833040422,0.8558875219683656,0.8822495606326889,0.7416520210896309,0.7416520210896309,0.2765084944346807,0.8295254833040422,0.1711775043936731,0.8558875219683656,0.08822495606326888,0.8822495606326889,0.7925732976260218,0.8145201530019933,0.7960357418981618
4,-1,0.7469244288224957,0.8330404217926186,0.8611599297012302,0.8892794376098418,0.7469244288224957,0.7469244288224957,0.27768014059753954,0.8330404217926186,0.17223198594024605,0.8611599297012302,0.08892794376098417,0.8892794376098418,0.7970945964794823,0.8195531051598309,0.7999282732594788,0.7469244288224957,0.8330404217926186,0.8611599297012302,0.8892794376098418,0.7469244288224957,0.7469244288224957,0.27768014059753954,0.8330404217926186,0.17223198594024605,0.8611599297012302,0.08892794376098417,0.8892794376098418,0.7970945964794823,0.8195531051598309,0.7999282732594788
5,-1,0.7504393673110721,0.8347978910369068,0.8611599297012302,0.8892794376098418,0.7504393673110721,0.7504393673110721,0.27826596367896894,0.8347978910369068,0.17223198594024605,0.8611599297012302,0.08892794376098417,0.8892794376098418,0.7982606633748985,0.8203660815055065,0.8011591766827177,0.7504393673110721,0.8347978910369068,0.8611599297012302,0.8892794376098418,0.7504393673110721,0.7504393673110721,0.27826596367896894,0.8347978910369068,0.17223198594024605,0.8611599297012302,0.08892794376098417,0.8892794376098418,0.7982606633748985,0.8203660815055065,0.8011591766827177
6,-1,0.7504393673110721,0.8347978910369068,0.8629173989455184,0.8910369068541301,0.7504393673110721,0.7504393673110721,0.27826596367896894,0.8347978910369068,0.17258347978910368,0.8629173989455184,0.089103690685413,0.8910369068541301,0.7992670237397828,0.8215712863132953,0.8020631809462404,0.7504393673110721,0.8347978910369068,0.8629173989455184,0.8910369068541301,0.7504393673110721,0.7504393673110721,0.27826596367896894,0.8347978910369068,0.17258347978910368,0.8629173989455184,0.089103690685413,0.8910369068541301,0.7992670237397828,0.8215712863132953,0.8020631809462404
7,-1,0.7521968365553603,0.8330404217926186,0.8611599297012302,0.8892794376098418,0.7521968365553603,0.7521968365553603,0.27768014059753954,0.8330404217926186,0.17223198594024605,0.8611599297012302,0.08892794376098417,0.8892794376098418,0.7990145618880239,0.8209507638647044,0.8020783392295333,0.7521968365553603,0.8330404217926186,0.8611599297012302,0.8892794376098418,0.7521968365553603,0.7521968365553603,0.27768014059753954,0.8330404217926186,0.17223198594024605,0.8611599297012302,0.08892794376098417,0.8892794376098418,0.7990145618880239,0.8209507638647044,0.8020783392295333
8,-1,0.7486818980667839,0.836555360281195,0.8629173989455184,0.8892794376098418,0.7486818980667839,0.7486818980667839,0.27885178676039835,0.836555360281195,0.17258347978910368,0.8629173989455184,0.08892794376098417,0.8892794376098418,0.7983262197673444,0.8204927238131682,0.8013681657243876,0.7486818980667839,0.836555360281195,0.8629173989455184,0.8892794376098418,0.7486818980667839,0.7486818980667839,0.27885178676039835,0.836555360281195,0.17258347978910368,0.8629173989455184,0.08892794376098417,0.8892794376098418,0.7983262197673444,0.8204927238131682,0.8013681657243876
9,-1,0.7451669595782073,0.8347978910369068,0.8629173989455184,0.8892794376098418,0.7451669595782073,0.7451669595782073,0.27826596367896894,0.8347978910369068,0.17258347978910368,0.8629173989455184,0.08892794376098417,0.8892794376098418,0.7959466622032526,0.8187096113234333,0.7989969338619682,0.7451669595782073,0.8347978910369068,0.8629173989455184,0.8892794376098418,0.7451669595782073,0.7451669595782073,0.27826596367896894,0.8347978910369068,0.17258347978910368,0.8629173989455184,0.08892794376098417,0.8892794376098418,0.7959466622032526,0.8187096113234333,0.7989969338619682
